"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"February 28","","https://www.tiktok.com/@haileytupy2.0/video/7531345990947851551","July 26","1837","50","6","30504"
"February 28","Sometimes, it's not about blood – it's about peace. Protect your heart, protect your family. 💔 #SelfCare #FamilyBoundaries #MentalHealthMatters #fatherdaughter #nocontact ","https://www.tiktok.com/@haileytupy2.0/video/7491033674700328235","April 8","1354","18","184","23673"
"February 28","@Unbrush #unbrush #unbrushplus #unbrushhairbrush ","https://www.tiktok.com/@haileytupy2.0/video/7527623000473079054","July 16","533","32","16","191265"
"February 28","Doing this for my kids—not the clout, not the cash. Just a mom building the life I never had 💪 #MomLife #CycleBreaker #WorkingMomGoals #TikTokMoms #BuildingGenerationalWealth #Mompreneur #WhyIWorkSoHard #MotivationForMoms #MomHustle #ForTheMoms #DreamLifeForMyKids #MomOnAMission #TikTokShopMoms #ParentingMotivation #HealingGenerationalTrauma","https://www.tiktok.com/@haileytupy2.0/video/7517573253523590431","June 19","134","17","5","5414"
"February 28","You may be off of work, but that mom life never stops. Happy Memorial Day!  #momtok #toddlermomsoftiktok #toddlermom #momlife #momlifeneverstops #unfilteredmotherhood #relatablemomcontent ","https://www.tiktok.com/@haileytupy2.0/video/7508745202010475819","May 26","132","12","11","2350"
"February 28","To see the hard work, determination, and grit pay off is the BEST feeling in the world! It has been a LONG 6 months of failing over and over again, to finally start figuring it out! I would not be where I am without @Malina || 2739, @Keighly ✨ 2739, the 2739 community, @emilymayofficial, @bentes_reviews, and the DCA community! You guys are out here changing lives and helping us reach our goals!!! Thank you! ","https://www.tiktok.com/@haileytupy2.0/video/7518951065941806367","June 22","124","33","4","1514"
